iter	Logloss
0	0.6817425126
1	0.6715713971
2	0.6620222972
3	0.6527173937
4	0.6443045917
5	0.6364601892
6	0.6288532462
7	0.6214325404
8	0.6145230544
9	0.6081770685
10	0.6023090637
11	0.596615103
12	0.5912227409
13	0.5861693918
14	0.5814921363
15	0.5772965365
16	0.5730335684
17	0.568877109
18	0.5647602912
19	0.5608945179
20	0.5572658143
21	0.5537540866
22	0.5505917278
23	0.5474069315
24	0.5445226202
25	0.5416567377
26	0.5389824375
27	0.5365538368
28	0.5342187166
29	0.5318652232
30	0.5293519945
31	0.5271275589
32	0.5247772391
33	0.522742938
34	0.5206901524
35	0.518877109
36	0.5170574401
37	0.5153910481
38	0.5136077916
39	0.5119586592
40	0.5104022279
41	0.5092523451
42	0.5078746348
43	0.5062766133
44	0.5049422748
45	0.5034412414
46	0.5019652624
47	0.5006036426
48	0.4992636251
49	0.4980673082
50	0.4968651453
51	0.4960056144
52	0.494850832
53	0.4937550665
54	0.492718819
55	0.491808567
56	0.4910076076
57	0.4899843884
58	0.4891554794
59	0.488452232
60	0.4874998886
61	0.4866183099
62	0.4859601046
63	0.4853711049
64	0.4846003777
65	0.4837120065
66	0.4829764111
67	0.4822045704
68	0.4816073306
69	0.481069219
70	0.4803112974
71	0.4797437888
72	0.4790051311
73	0.4783763229
74	0.4776447361
75	0.4769581359
76	0.4763504846
77	0.4756029745
78	0.4751638554
79	0.4744046532
80	0.4737092004
81	0.4729598529
82	0.4724915038
83	0.4719160334
84	0.4711522101
85	0.4704788051
86	0.4699769945
87	0.4694530248
88	0.468845986
89	0.4684309747
90	0.4678625196
91	0.4674166637
92	0.4670014019
93	0.4664258759
94	0.4658201455
95	0.4652723184
96	0.4648374586
97	0.4643732573
98	0.4639185211
99	0.4633164653
