iter	Passed	Remaining
0	9	908
1	16	812
2	31	1019
3	38	915
4	44	851
5	51	813
6	58	773
7	64	742
8	70	716
9	77	694
10	83	675
11	89	655
12	95	638
13	101	622
14	107	606
15	113	593
16	119	584
17	125	573
18	131	561
19	137	550
20	143	539
21	149	529
22	155	519
23	161	510
24	167	501
25	172	492
26	179	484
27	185	477
28	191	468
29	197	461
30	203	453
31	209	445
32	216	439
33	222	432
34	228	424
35	234	416
36	240	409
37	246	402
38	252	395
39	258	388
40	265	381
41	271	374
42	277	367
43	282	360
44	288	352
45	294	346
46	300	339
47	306	332
48	312	325
49	318	318
50	324	311
51	330	304
52	335	297
53	341	290
54	347	284
55	353	277
56	358	270
57	364	264
58	371	258
59	377	251
60	383	245
61	389	238
62	395	231
63	400	225
64	406	218
65	412	212
66	418	206
67	424	199
68	430	193
69	436	186
70	442	180
71	448	174
72	454	167
73	459	161
74	465	155
75	471	148
76	477	142
77	483	136
78	489	130
79	495	123
80	500	117
81	506	111
82	513	105
83	519	98
84	525	92
85	531	86
86	538	80
87	544	74
88	551	68
89	556	61
90	562	55
91	568	49
92	574	43
93	580	37
94	586	30
95	592	24
96	598	18
97	603	12
98	611	6
99	617	0
